Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
P30612_132_S363_trimmed_R1.PwU.qtrim	P30612_132_S363_trimmed_R1.PwU.qtrim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	84747190.0	0.0	1-151	51.0	18.268298402964355	146.27760355240096	pass	pass	warn	pass	fail	warn	pass	warn	fail	warn	pass
P30612_132_S363_trimmed_R2.PwU.qtrim	P30612_132_S363_trimmed_R2.PwU.qtrim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	84747190.0	0.0	3-151	52.0	14.710921087105087	146.4528367489235	pass	pass	fail	pass	fail	warn	pass	warn	fail	warn	pass
P30612_133_S364_trimmed_R1.PwU.qtrim	P30612_133_S364_trimmed_R1.PwU.qtrim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	90734141.0	0.0	1-151	52.0	17.255473344071753	143.49794920084162	pass	pass	warn	pass	fail	pass	pass	warn	fail	warn	pass
P30612_133_S364_trimmed_R2.PwU.qtrim	P30612_133_S364_trimmed_R2.PwU.qtrim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	90734141.0	0.0	1-151	53.0	13.349558915184096	143.7484875731617	pass	pass	fail	pass	fail	warn	pass	warn	fail	warn	pass
P30612_134_S365_trimmed_R1.PwU.qtrim	P30612_134_S365_trimmed_R1.PwU.qtrim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	89791098.0	0.0	1-151	52.0	20.544683783170235	148.44760109738272	pass	pass	warn	pass	fail	pass	pass	warn	fail	warn	pass
P30612_134_S365_trimmed_R2.PwU.qtrim	P30612_134_S365_trimmed_R2.PwU.qtrim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	89791098.0	0.0	1-151	53.0	16.717957342935062	148.4969429152097	pass	pass	fail	pass	fail	warn	pass	warn	fail	warn	pass
P30612_135_S366_trimmed_R1.PwU.qtrim	P30612_135_S366_trimmed_R1.PwU.qtrim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	99348430.0	0.0	1-151	52.0	13.480812036669715	146.56285668530444	pass	pass	warn	pass	fail	pass	pass	warn	fail	pass	pass
P30612_135_S366_trimmed_R2.PwU.qtrim	P30612_135_S366_trimmed_R2.PwU.qtrim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	99348430.0	0.0	1-151	53.0	9.715626660819414	146.67213323854236	pass	pass	fail	pass	fail	warn	pass	warn	fail	warn	pass
P30612_136_S367_trimmed_R1.PwU.qtrim	P30612_136_S367_trimmed_R1.PwU.qtrim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	79237792.0	0.0	1-151	53.0	11.373442196868364	144.60745669187753	pass	pass	warn	pass	fail	pass	pass	warn	fail	pass	pass
P30612_136_S367_trimmed_R2.PwU.qtrim	P30612_136_S367_trimmed_R2.PwU.qtrim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	79237792.0	0.0	1-151	53.0	7.807919015376156	144.8328722233956	pass	pass	fail	pass	fail	warn	pass	warn	fail	warn	pass
