Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
P30612_111_S342_trimmed_R2.PwU.qtrim	87.53253092378893	53.0	146.15872095093061	27.27272727272727	101711563.0
P30612_112_S343_trimmed_R1.PwU.qtrim	83.63996719776748	53.0	144.5144273928874	18.181818181818183	87044902.0
P30612_112_S343_trimmed_R2.PwU.qtrim	88.10394423756374	53.0	144.77368333414861	27.27272727272727	87044902.0
P30612_113_S344_trimmed_R1.PwU.qtrim	75.50340447559378	52.0	147.1872110300499	18.181818181818183	98126120.0
P30612_113_S344_trimmed_R2.PwU.qtrim	80.6066907179388	52.0	147.30960944955328	27.27272727272727	98126120.0
P30612_114_S345_trimmed_R1.PwU.qtrim	78.71437379937001	52.0	148.16113000899503	18.181818181818183	114974660.0
P30612_114_S345_trimmed_R2.PwU.qtrim	82.80133412805647	53.0	148.2333488874853	27.27272727272727	114974660.0
P30612_115_S346_trimmed_R1.PwU.qtrim	80.46098146636703	53.0	147.2978770213855	18.181818181818183	102447617.0
P30612_115_S346_trimmed_R2.PwU.qtrim	84.729870360814	53.0	147.3848828714093	27.27272727272727	102447617.0
P30612_116_S347_trimmed_R1.PwU.qtrim	85.61846436979648	53.0	146.10936512470658	18.181818181818183	97503432.0
P30612_116_S347_trimmed_R2.PwU.qtrim	86.9112843662606	54.0	146.3892088947187	45.45454545454545	97503432.0
P30612_117_S348_trimmed_R1.PwU.qtrim	88.87649536745528	53.0	149.3454563852993	18.181818181818183	112598434.0
P30612_117_S348_trimmed_R2.PwU.qtrim	92.01512588134108	53.0	149.37610552381216	27.27272727272727	112598434.0
P30612_118_S349_trimmed_R1.PwU.qtrim	82.56340008528667	53.0	147.7229023638742	18.181818181818183	94675131.0
P30612_118_S349_trimmed_R2.PwU.qtrim	87.28621832009212	53.0	147.82484794238098	27.27272727272727	94675131.0
P30612_119_S350_trimmed_R1.PwU.qtrim	82.18440452738307	51.0	143.26970373596566	18.181818181818183	91181807.0
